user_id,city_location,user_budget_min_lakh,user_budget_max_lakh,user_preferred_body_type,user_fuel_preference,user_transmission_preference,user_seating_capacity,user_monthly_running_km,user_min_ground_clearance_mm,user_min_safety_rating,recommended_brand,recommended_model,body_type,fuel_type,transmission,seating_capacity,safety_rating_stars,ground_clearance_mm,mileage_kmpl_or_range_km,ex_showroom_price_lakh,rto_tax_lakh,insurance_cost_lakh,other_charges_lakh,full_on_road_price_lakh
USR_10000,Chennai (Tamil Nadu),63.52,87.27,Luxury Sedan,Electric,Automatic,5,800,130,5,BMW,i4,Luxury Sedan,Electric,Automatic,5,5,125,590.0,70.77,3.54,2.97,0.23,77.51
USR_10001,Ahmedabad (Gujarat),40.38,47.69,Luxury Sedan,Electric,Automatic,5,500,130,5,BYD,Seal,Luxury Sedan,Electric,Automatic,5,5,145,650.0,39.14,1.96,1.64,0.2,42.94
USR_10002,Hyderabad (Telangana),12.79,17.4,MPV,Petrol,Automatic,6,800,165,3,Maruti Suzuki,XL6,MPV,Petrol,Automatic,6,3,180,20.27,11.77,1.65,0.49,0.17,14.08
USR_10003,Bhubaneswar (Odisha),76.97,91.56,Luxury Sedan,Diesel,Automatic,5,2000,130,4,Mercedes-Benz,E-Class LWB,Luxury Sedan,Diesel,Automatic,5,5,145,16.1,74.15,6.67,3.11,0.19,84.12
USR_10004,Bhubaneswar (Odisha),12.83,19.72,Mid SUV,Petrol,Automatic,5,1200,183,4,Volkswagen,Taigun,Mid SUV,Petrol,Automatic,5,5,188,18.15,15.69,1.41,0.66,0.24,18.0
USR_10005,Kochi (Kerala),7.84,11.66,Compact SUV,Petrol,Automatic,5,2000,180,3,Hyundai,Exter,Compact SUV,Petrol,Automatic,5,4,185,19.2,7.59,1.14,0.32,0.13,9.18
USR_10006,Kochi (Kerala),70.14,90.51,Luxury Sedan,Electric,Automatic,5,2500,130,5,BMW,i4,Luxury Sedan,Electric,Automatic,5,5,125,590.0,67.45,3.37,2.83,0.15,73.8
USR_10007,Guwahati (Assam),82.52,97.46,Luxury SUV,Diesel,Automatic,5,2500,208,4,Jaguar,F-Pace,Luxury SUV,Diesel,Automatic,5,5,213,12.9,68.23,5.46,2.87,0.25,76.81
USR_10008,Delhi,14.51,17.99,Sedan,Petrol,Automatic,5,1500,169,5,Skoda,Slavia,Sedan,Petrol,Automatic,5,5,179,18.73,14.31,1.43,0.6,0.24,16.58
USR_10009,Kolkata (West Bengal),11.42,15.46,Hatchback,Electric,Automatic,5,800,150,2,Citroën,ë-C3,Hatchback,Electric,Automatic,5,3,170,320.0,12.19,0.61,0.51,0.14,13.45
USR_10010,Mumbai (Maharashtra),76.95,123.86,Luxury SUV,Petrol,Automatic,7,2000,230,5,Audi,Q7,Luxury SUV,Petrol,Automatic,7,5,235,11.21,94.17,12.24,3.96,0.14,110.51
USR_10011,Indore (Madhya Pradesh),59.22,85.69,Luxury Sedan,Petrol,Automatic,5,3000,135,5,BMW,5 Series,Luxury Sedan,Petrol,Automatic,5,5,140,15.7,69.92,8.39,2.94,0.17,81.42
USR_10012,Bangalore (Karnataka),93.27,150.04,Luxury SUV,Electric,Automatic,5,1500,182,4,BMW,iX,Luxury SUV,Electric,Automatic,5,5,202,575.0,122.44,6.12,5.14,0.13,133.83
USR_10013,Hyderabad (Telangana),92.05,135.8,Luxury SUV,Petrol,Automatic,5,1200,178,5,Porsche,Macan,Luxury SUV,Petrol,Automatic,5,5,198,10.2,100.17,14.02,4.21,0.21,118.61
USR_10014,Kolkata (West Bengal),12.21,18.37,Mid SUV,Petrol,Automatic,5,2500,190,3,Kia,Seltos,Mid SUV,Petrol,Automatic,5,3,190,17.0,14.88,1.49,0.62,0.13,17.12
USR_10015,Kolkata (West Bengal),4.75,6.82,Hatchback,CNG,Manual,4,2000,155,2,Maruti Suzuki,Alto K10,Hatchback,CNG,Manual,4,2,160,33.85,4.89,0.49,0.21,0.13,5.72
USR_10016,Ahmedabad (Gujarat),11.96,14.78,Hatchback,Electric,Automatic,5,800,160,3,Citroën,ë-C3,Hatchback,Electric,Automatic,5,3,170,320.0,11.65,0.58,0.49,0.18,12.9
USR_10017,Chennai (Tamil Nadu),10.79,16.93,Mid SUV,Petrol,Automatic,5,2000,198,5,Tata Motors,Curvv,Mid SUV,Petrol,Automatic,5,5,208,18.5,13.18,1.98,0.55,0.24,15.95
USR_10018,Ahmedabad (Gujarat),82.53,122.0,Luxury SUV,Strong Hybrid,Automatic,5,1200,200,5,Lexus,RX 500h,Luxury SUV,Strong Hybrid,Automatic,5,5,200,15.1,88.53,7.08,3.72,0.18,99.51
USR_10019,Mumbai (Maharashtra),7.61,11.44,Compact SUV,Petrol,Automatic,5,1500,180,4,Hyundai,Exter,Compact SUV,Petrol,Automatic,5,4,185,19.2,7.77,1.01,0.33,0.17,9.28
USR_10020,Delhi,8.36,12.41,Hatchback,Petrol,Automatic,5,2000,150,4,Toyota,Glanza,Hatchback,Petrol,Automatic,5,4,170,22.94,8.42,0.84,0.35,0.25,9.86
USR_10021,Indore (Madhya Pradesh),8.41,12.18,Hatchback,Petrol,Automatic,5,2000,160,3,Hyundai,i20,Hatchback,Petrol,Automatic,5,3,170,19.65,8.79,1.05,0.37,0.19,10.4
USR_10022,Lucknow (Uttar Pradesh),11.08,16.76,Mid SUV,Petrol,Automatic,7,2500,195,2,Citroën,C3 Aircross,Mid SUV,Petrol,Automatic,7,3,200,17.6,11.21,1.12,0.47,0.17,12.97
